FeedingType,LifeStageCategory,slopeLinear,interceptLinear,R2,F-statistics,p-val
insectivorous,larva / juvenile,0.384249046154572,0.946030011005037,0.0964302170576589,4.3083628793485,0.0465944025225441
piscivorous,adult,0.285409207488918,7.00517613554359,0.076202771796658,1460.96633985589,3.21527852225747e-307
piscivorous,juvenile,0.22348012450815,8.72126450880163,0.0712751653807342,233.384440178495,8.16786748028274e-51
piscivorous,larva / juvenile,0.652630804441673,4.96732009411791,0.446957841719521,9.08180416316188,0.0146301686798566
piscivorous,postlarva,0.106773528674382,-2.52746573405741,0.00796889734733119,1.25705314524184,0.270820006991042
planktivorous,adult,0.802761886290888,8.92977274196479,0.219226051106973,45.0825287172977,3.31771921399382e-10
planktivorous,juvenile,0.168911383542265,2.61342271573401,NA,NA,NA
planktivorous,larva,0.204221090759678,-2.0243258974729,0.0867804576258572,98.3075854003908,3.4540943793268e-22
planktivorous,larva / juvenile,0.537539976546299,5.083129495985,0.231854967626857,36.9186611704769,1.55071505486174e-08
planktivorous,postlarva/juvenile,0.675479706794874,6.81310614810304,0.228304582279103,78.8080363840136,1.1059066717427e-16
predacious,adult,0.321994355406023,7.72830989158588,0.146021376107344,1356.94671825977,2.36661210565006e-274
predacious,juvenile,0.932339687360739,7.13508760327198,0.628810340345449,3560.17922469959,0
predacious,larva,0.323614384510347,1.43204943227199,0.113414578043615,155.914631584789,9.61358023701353e-34
predacious,larva / juvenile,0.512543148452051,3.60345069079233,0.422809456413916,357.009636853167,4.43552228318542e-60
predacious,postlarva,0.15403834606651,-1.61375195212254,0.0964818141089013,8.58170550266892,0.00458060708606847
predacious,postlarva/juvenile,0.211649696643391,1.66714590677882,0.142713324852304,99.0513879135296,1.13623625842997e-21
predacious/piscivorous,adult,0.531028610582127,4.78378800257579,0.337010413620891,82.3310906945516,4.19117303972467e-16
